"experiment","age","participant","condition","trial","rating"
"constrained","6_years",19,"additive","co",20
"constrained","6_years",19,"additive","cm",19.75
"constrained","6_years",19,"additive","cc",20
"constrained","6_years",20,"additive","oo",0
"constrained","6_years",20,"additive","om",0.25
"constrained","6_years",20,"additive","oc",12.5
"constrained","6_years",20,"additive","mo",1.5
"constrained","6_years",20,"additive","mm",18.5
"constrained","6_years",20,"additive","mc",18
"constrained","6_years",20,"additive","co",20
"constrained","6_years",20,"additive","cm",18.75
"constrained","6_years",20,"additive","cc",20
"constrained","6_years",21,"additive","oo",0
"constrained","6_years",21,"additive","om",0
"constrained","6_years",21,"additive","oc",20
"constrained","6_years",21,"additive","mo",2.5
"constrained","6_years",21,"additive","mm",20
"constrained","6_years",21,"additive","mc",20
"constrained","6_years",21,"additive","co",20
"constrained","6_years",21,"additive","cm",20
"constrained","6_years",21,"additive","cc",20
"constrained","6_years",22,"additive","oo",2.5
"constrained","6_years",22,"additive","om",4
"constrained","6_years",22,"additive","oc",16.25
"constrained","6_years",22,"additive","mo",7
"constrained","6_years",22,"additive","mm",16.25
"constrained","6_years",22,"additive","mc",14
"constrained","6_years",22,"additive","co",19
"constrained","6_years",22,"additive","cm",17.5
"constrained","6_years",22,"additive","cc",18.25
"constrained","6_years",23,"additive","oo",0.5
"constrained","6_years",23,"additive","om",0.25
"constrained","6_years",23,"additive","oc",11
"constrained","6_years",23,"additive","mo",4.25
"constrained","6_years",23,"additive","mm",14
"constrained","6_years",23,"additive","mc",13.75
"constrained","6_years",23,"additive","co",20
"constrained","6_years",23,"additive","cm",20
"constrained","6_years",23,"additive","cc",20
"constrained","6_years",24,"additive","oo",5.75
"constrained","6_years",24,"additive","om",7.5
"constrained","6_years",24,"additive","oc",12.75
"constrained","6_years",24,"additive","mo",8.5
"constrained","6_years",24,"additive","mm",13
"constrained","6_years",24,"additive","mc",12.5
"constrained","6_years",24,"additive","co",16.25
"constrained","6_years",24,"additive","cm",13.5
"constrained","6_years",24,"additive","cc",12.5
"constrained","6_years",25,"additive","oo",3
"constrained","6_years",25,"additive","om",0.75
"constrained","6_years",25,"additive","oc",14.25
"constrained","6_years",25,"additive","mo",0.75
"constrained","6_years",25,"additive","mm",14.25
"constrained","6_years",25,"additive","mc",14.5
"constrained","6_years",25,"additive","co",17.75
"constrained","6_years",25,"additive","cm",15.75
"constrained","6_years",25,"additive","cc",20
"constrained","6_years",57,"additive","oo",0.5
"constrained","6_years",57,"additive","om",3
"constrained","6_years",57,"additive","oc",15
"constrained","6_years",57,"additive","mo",3.25
"constrained","6_years",57,"additive","mm",17.75
"constrained","6_years",57,"additive","mc",18.25
"constrained","6_years",57,"additive","co",15
"constrained","6_years",57,"additive","cm",18.25
"constrained","6_years",57,"additive","cc",19
"constrained","6_years",60,"additive","oo",6.5
"constrained","6_years",60,"additive","om",7.5
"constrained","6_years",60,"additive","oc",12
"constrained","6_years",60,"additive","mo",8.25
"constrained","6_years",60,"additive","mm",12
"constrained","6_years",60,"additive","mc",12.5
"constrained","6_years",60,"additive","co",12.25
"constrained","6_years",60,"additive","cm",12.75
"constrained","6_years",60,"additive","cc",13.5
"constrained","6_years",63,"additive","oo",2
"constrained","6_years",63,"additive","om",2.5
"constrained","6_years",63,"additive","oc",11
"constrained","6_years",63,"additive","mo",5.75
"constrained","6_years",63,"additive","mm",11
"constrained","6_years",63,"additive","mc",11.25
"constrained","6_years",63,"additive","co",17.5
"constrained","6_years",63,"additive","cm",16.5
"constrained","6_years",63,"additive","cc",17
"constrained","6_years",66,"additive","oo",2
"constrained","6_years",66,"additive","om",4
"constrained","6_years",66,"additive","oc",14
"constrained","6_years",66,"additive","mo",6.25
"constrained","6_years",66,"additive","mm",20
"constrained","6_years",66,"additive","mc",16
"constrained","6_years",66,"additive","co",19.5
"constrained","6_years",66,"additive","cm",18
"constrained","6_years",66,"additive","cc",16
"constrained","6_years",69,"additive","oo",3.5
"constrained","6_years",69,"additive","om",1.75
"constrained","6_years",69,"additive","oc",20
"constrained","6_years",69,"additive","mo",8
"constrained","6_years",69,"additive","mm",20
"constrained","6_years",69,"additive","mc",20
"constrained","6_years",69,"additive","co",20
"constrained","6_years",69,"additive","cm",20
"constrained","6_years",69,"additive","cc",20
"constrained","6_years",88,"additive","oo",2.25
"constrained","6_years",88,"additive","om",0.25
"constrained","6_years",88,"additive","oc",12
"constrained","6_years",88,"additive","mo",2.75
"constrained","6_years",88,"additive","mm",11.75
"constrained","6_years",88,"additive","mc",13.5
"constrained","6_years",88,"additive","co",13.75
"constrained","6_years",88,"additive","cm",13.25
"constrained","6_years",88,"additive","cc",15.75
"constrained","6_years",91,"additive","oo",7.75
"constrained","6_years",91,"additive","om",5.25
"constrained","6_years",91,"additive","oc",10.25
"constrained","6_years",91,"additive","mo",8.5
"constrained","6_years",91,"additive","mm",11.5
"constrained","6_years",91,"additive","mc",11.75
"constrained","6_years",91,"additive","co",13.25
"constrained","6_years",91,"additive","cm",12.75
"constrained","6_years",91,"additive","cc",13.75
"constrained","6_years",97,"additive","oo",0.5
"constrained","6_years",97,"additive","om",0.75
"constrained","6_years",97,"additive","oc",12.25
"constrained","6_years",97,"additive","mo",2.75
"constrained","6_years",97,"additive","mm",12.5
"constrained","6_years",97,"additive","mc",14.75
"constrained","6_years",97,"additive","co",16
"constrained","6_years",97,"additive","cm",17.5
"constrained","6_years",97,"additive","cc",20
"constrained","adults",1,"additive","oo",1
"constrained","adults",1,"additive","om",2
"constrained","adults",1,"additive","oc",10
"constrained","adults",1,"additive","mo",6.75
"constrained","adults",1,"additive","mm",13.5
"constrained","adults",1,"additive","mc",12.5
"constrained","adults",1,"additive","co",16.5
"constrained","adults",1,"additive","cm",15.75
"constrained","adults",1,"additive","cc",17.5
"constrained","adults",2,"additive","oo",5
"constrained","adults",2,"additive","om",6
"constrained","adults",2,"additive","oc",12.25
"constrained","adults",2,"additive","mo",6.75
"constrained","adults",2,"additive","mm",14
"constrained","adults",2,"additive","mc",14
"constrained","adults",2,"additive","co",19.75
"constrained","adults",2,"additive","cm",18.5
"constrained","adults",2,"additive","cc",20
"constrained","adults",3,"additive","oo",3.5
"constrained","adults",3,"additive","om",3.75
"constrained","adults",3,"additive","oc",10.5
"constrained","adults",3,"additive","mo",6.5
"constrained","adults",3,"additive","mm",12.75
"constrained","adults",3,"additive","mc",12.75
"constrained","adults",3,"additive","co",16.75
"constrained","adults",3,"additive","cm",16.75
"constrained","adults",3,"additive","cc",20
"constrained","adults",4,"additive","oo",10
"constrained","adults",4,"additive","om",10
"constrained","adults",4,"additive","oc",13
"constrained","adults",4,"additive","mo",10
"constrained","adults",4,"additive","mm",14.5
"constrained","adults",4,"additive","mc",16
"constrained","adults",4,"additive","co",13
"constrained","adults",4,"additive","cm",16
"constrained","adults",4,"additive","cc",19.75
"constrained","adults",5,"additive","oo",0
"constrained","adults",5,"additive","om",0
"constrained","adults",5,"additive","oc",10
"constrained","adults",5,"additive","mo",10
"constrained","adults",5,"additive","mm",10
"constrained","adults",5,"additive","mc",10
"constrained","adults",5,"additive","co",20
"constrained","adults",5,"additive","cm",20
"constrained","adults",5,"additive","cc",20
"constrained","adults",6,"additive","oo",10
"constrained","adults",6,"additive","om",8.75
"constrained","adults",6,"additive","oc",10.75
"constrained","adults",6,"additive","mo",9.75
"constrained","adults",6,"additive","mm",13
"constrained","adults",6,"additive","mc",13
"constrained","adults",6,"additive","co",16.75
"constrained","adults",6,"additive","cm",17.25
"constrained","adults",6,"additive","cc",18.5
"constrained","adults",153,"additive","oo",4
"constrained","adults",153,"additive","om",4.25
"constrained","adults",153,"additive","oc",12
"constrained","adults",153,"additive","mo",7
"constrained","adults",153,"additive","mm",15
"constrained","adults",153,"additive","mc",15.25
"constrained","adults",153,"additive","co",19.5
"constrained","adults",153,"additive","cm",19.25
"constrained","adults",153,"additive","cc",20
"constrained","adults",156,"additive","oo",3
"constrained","adults",156,"additive","om",3.75
"constrained","adults",156,"additive","oc",12.75
"constrained","adults",156,"additive","mo",6
"constrained","adults",156,"additive","mm",17
"constrained","adults",156,"additive","mc",17.25
"constrained","adults",156,"additive","co",20
"constrained","adults",156,"additive","cm",20
"constrained","adults",156,"additive","cc",20
"constrained","adults",159,"additive","oo",3
"constrained","adults",159,"additive","om",5.25
"constrained","adults",159,"additive","oc",12
"constrained","adults",159,"additive","mo",7.75
"constrained","adults",159,"additive","mm",12
"constrained","adults",159,"additive","mc",12.25
"constrained","adults",159,"additive","co",15
"constrained","adults",159,"additive","cm",14.25
"constrained","adults",159,"additive","cc",16.75
"constrained","adults",162,"additive","oo",2
"constrained","adults",162,"additive","om",2
"constrained","adults",162,"additive","oc",16.25
"constrained","adults",162,"additive","mo",3.5
"constrained","adults",162,"additive","mm",18
